Sensor,Muestras,Media,Mediana,Mínimo,Máximo,Rango,Varianza,DesvEstándar,CoefVariación (%),Asimetría,Curtosis
Term1Dent,89785,-14.457882071518986,55.419646832235344,-91.66895181522978,58.929520496052476,150.59847231128225,5473.666621866441,73.98423225165239,-511.72247695529444,-0.08533687739284676,-1.99255341056585
TermAgua2,89785,-21.325488643301945,-91.66895181522978,-91.66895181522978,57.776685683093376,149.44563749832315,5389.686491847001,73.41448421018158,-344.2569848604154,0.08551398816951554,-1.9926138186259157
TermDentro2,89785,-33.95203296715833,-91.66895181522978,-91.66895181522978,51.64683200624637,143.31578382147615,3633.757044415763,60.280652322414056,-177.54651799709106,0.08712523625559451,-1.9920310720534868
TermExt2,89785,-32.446417966987575,-91.66895181522978,-91.66895181522978,46.325455969821235,137.994407785051,4076.367299762653,63.84643529409182,-196.77498871848357,0.15295082755893544,-1.971744384122405
