,id,ek,x,y,t,thet,phi
0,1,0.0168466741615055,223.517944335938,-81.5050735473633,78172.8671875,0.0005405254924193,-0.349663026152139
1,1,0.0223854022801704,-169.997131347656,-6.58780288696289,78172.8671875,0.0002370422815387,0.0387330542339713
2,1,0.182371894023775,-169.791564941406,-1.28814578056335,78172.8671875,0.0011877872649809,0.0075864844519524
3,2,4.45999700822621,-172.218475341797,-0.43530997633934,78172.8671875,0.001549306086546,0.0025276559231139
4,1,10.1705314187122,-170.818298339844,-3.49265027046204,78172.8671875,0.0006354127421443,0.0204437329656935
5,1,0.0124064346625506,87.9771575927734,-37.9645004272461,78172.8671875,0.0019675055850166,-0.407385883346674
6,1,0.002949214435785,83.8010559082031,-36.7349853515625,78172.8671875,0.0007487417376684,-0.41313159405146
7,1,3.67123819371147,62.8528327941895,-0.987139463424683,78172.8671875,7.28290347185147e-05,-0.0157042772352848
8,1,4.47918600246292,45.9241065979004,-17.5575313568115,78172.8671875,0.0004336988961455,-0.36516942169353
9,1,0.340391843341954,-82.9480361938477,299.991638183594,78172.8671875,0.00072003397496,-1.3010350349554
10,1,0.0669790658150363,44.3887214660645,-34.9949684143066,78172.8671875,9.10421232285841e-05,-0.667612363324811
11,1,0.0080393932619525,37.617862701416,-48.4646759033203,78172.8671875,0.0004264540790927,-0.910742378443882
12,1,0.110792951380924,-336.670013427734,-76.4352569580078,78172.8671875,0.0012280338042935,0.22324878845147
13,1,0.0473512985015814,113.262245178223,163.950012207031,78172.8671875,0.0004702610391303,0.966248556316158
14,1,0.0155137707762404,-15.4348936080933,-211.281524658203,78172.8671875,0.0013208246590939,1.49787218746824
15,1,0.147821835402651,-79.4014205932617,211.228652954102,78172.8671875,0.0008337890928545,-1.21123448480607
16,1,0.0158564797047429,-57.9426002502441,174.838760375977,78172.8671875,0.0012565148698951,-1.2507814461812
17,1,0.109486305242722,-170.459701538086,-8.19287776947022,78172.8671875,0.0001364462480934,0.0480264699226176
18,1,0.0057616357810459,-111.215072631836,-242.373458862305,78172.8671875,0.0014840682441947,1.14060030439319
19,1,0.786571251900591,-79.5509567260742,184.133544921875,78172.8671875,0.0012789324569042,-1.16298749049522
20,1,0.0872618444730019,139.270965576172,206.470184326172,78172.8671875,0.0009696747029196,0.977367511570969
21,1,0.0927095605705593,145.298751831055,134.700225830078,78172.8671875,0.0005045202664463,0.747564208901866
22,1,0.794708572472726,-175.505355834961,-3.46543622016907,78172.8671875,0.0002379399349107,0.019742907198773
23,1,0.279658325831718,-173.414031982422,-3.06225943565369,78172.8671875,0.0002431328034554,0.0176568248860744
24,1,0.0047920598234469,-177.941940307617,-9.7825984954834,78172.8671875,0.0001469355051763,0.0549210639923172
25,3,0.261213632300226,89.3257217407227,-36.1589279174805,78172.8671875,0.004950299161467,-0.38463625190236
26,1,0.0308794699926234,84.8635787963867,-62.8338050842285,78172.8671875,0.0001618048002013,-0.637334919841888
27,1,0.0964677581594813,-169.739273071289,-8.36669635772705,78172.8671875,0.000224202498421,0.0492515964356681
28,1,0.0587218311607721,-154.702255249023,-262.40966796875,78172.8671875,0.0011555856736499,1.03809994421742
29,1,1.87276110806327,92.1660766601563,-18.8739032745361,78172.8671875,0.0012263443914705,-0.201988856757648
30,1,0.0502049782954371,88.9785766601563,-23.1969966888428,78172.8671875,0.001036709589532,-0.255026587998904
31,2,3.7113849763361,89.3479690551758,-36.1000061035156,78172.8671875,0.0008771432100343,-0.38398285923869
32,1,1.50126776510091,-60.3149490356445,-285.636169433594,78172.8671875,0.0021748833804627,1.36269333554599
33,1,11.8688826413874,-172.373947143555,-3.81845664978027,78172.8671875,0.0002790556459444,0.0221485456534747
34,1,0.380025172557517,-121.546684265137,32.236270904541,78172.8671875,0.0009546725732309,-0.259248664740596
35,1,0.0079223871074949,-125.500762939453,-60.6709403991699,78172.8671875,0.0011250161474416,0.45030464233032
36,1,0.0095347041280549,-41.5638694763184,-225.448043823242,78172.8671875,0.0012186205591375,1.38848230201882
37,1,0.0019309569073025,-71.2823715209961,263.646667480469,78172.8671875,0.0027016713545938,-1.30673887993061
38,1,0.0227894055930567,-89.2495956420898,-142.073257446289,78172.8671875,0.0003971053203722,1.0099033587675
39,1,0.0369194408341363,114.141632080078,-4.50947713851929,78172.8671875,0.0014160026656581,-0.0394871969930288
40,1,0.0280053175939703,128.693481445313,-25.4778614044189,78172.8671875,0.0015212604688252,-0.195445964222228
41,1,0.278349959235775,57.9972724914551,-64.9276885986328,78172.8671875,0.0004085253292954,-0.841717782846271
42,1,0.0435651455552433,-83.5707855224609,120.777870178223,78172.8671875,0.0005412306315161,-0.96550168793077
43,1,0.005338770374361,168.547897338867,1.4493054151535,78172.8671875,0.0019176012102566,0.0085985628986789
44,1,0.189151451917971,42.2799949645996,-67.8804931640625,78172.8671875,0.0004090876315212,-1.01373788831765
45,2,0.594690960811951,-27.694652557373,21.2508525848389,78172.8671875,0.0049867575696226,-0.654498429836643
46,1,0.130013373863805,-33.5065422058106,23.2181205749512,78172.8671875,0.0041964504377991,-0.605973937371418
47,3,0.770390720108771,82.5995407104492,-17.1313858032227,78172.8671875,0.0040641507870651,-0.204503511605987
48,2,2.94062698554835,82.9145126342773,-17.9237880706787,78172.8671875,0.0010365173029919,-0.212896016088956
49,1,0.037766986460565,-163.578277587891,41.7055206298828,78172.8671875,0.0002140680713972,-0.249639143898474
50,3,0.589477527667218,-15.5185441970825,22.6928462982178,78172.8671875,0.0079935559477646,-0.97099048196583
51,1,0.0488201148991288,57.6078643798828,-93.8241882324219,78172.8671875,0.0010913898505853,-1.02014770576337
52,1,0.007098653038099,0.980423510074616,25.4277629852295,78172.8671875,0.0019276368269028,1.53225821032677
53,1,0.0271803766083043,150.291580200195,-212.135879516602,78172.8671875,0.0005944440080711,-0.954409413802636
54,2,0.260808309295847,96.7325134277344,-10.6175718307495,78172.8671875,0.0086389079215885,-0.109324546784164
55,1,0.10813905285938,214.06867980957,138.885925292969,78172.8671875,0.0012302021624301,0.575525142819553
56,1,0.0700140793770446,-55.0921325683594,-21.8937377929688,78172.8671875,0.0003753581922999,0.37826493890998
57,1,1.25155919113356,-7.34897708892822,1.77463042736053,78172.8671875,0.0002905710361186,-0.236943832817017
58,1,0.0209724947218071,-26.4745101928711,12.3608808517456,78172.8671875,0.0002557430454178,-0.436816641042117
59,1,0.0789531897213797,-107.870765686035,-164.49153137207,78172.8671875,0.0005735134177761,0.99036639796484
60,3,0.0766031754873652,-80.0032196044922,-201.502593994141,78172.8671875,0.0264056188917332,1.19285014989122
61,1,6.37314033916508,20.7448425292969,-28.9537792205811,78172.8671875,3.57914104771069e-05,-0.949094489897278
62,1,1.87406057745883,139.473693847656,-19.6159896850586,78172.8671875,0.0017673666044075,-0.139726461641854
63,1,0.0233202984108219,138.983184814453,-32.5405120849609,78172.8671875,0.0046417380200144,-0.229989917501223
64,1,0.0052327058970368,-31.0407180786133,20.6640663146973,78172.8671875,0.004268038755385,-0.587338884621326
65,1,0.0955743264254142,47.8354835510254,-286.439971923828,78172.8671875,0.0008783185898888,-1.40532331461185
66,1,0.0085302404425531,-33.7355918884277,22.3250122070313,78172.8671875,0.0032351702811654,-0.584601012110762
67,2,0.606698472360204,-45.139102935791,17.5741596221924,78172.8671875,0.0067612149124438,-0.371277332386673
68,1,0.0321024306553848,105.448455810547,-38.3572044372559,78172.8671875,0.0017773875266519,-0.34887411726049
69,1,0.0235925152718388,-63.9042739868164,-70.8914947509766,78172.8671875,0.0004335440264139,0.837187420884159
70,1,0.0087567011470847,-180.234252929688,-7.1467776298523,78172.8671875,0.0002360246213541,0.0396319530117251
71,2,4.65196977670918,-172.095748901367,-11.3871393203735,78172.8671875,0.0010427760606572,0.0660711538355576
72,1,0.33723016212111,220.723052978516,85.6934814453125,78172.8671875,0.0010754082178621,0.3703273749157
73,1,0.0068191126046314,-171.360382080078,-11.4743318557739,78172.8671875,0.0018033790442607,0.0668604297667357
74,1,0.157425703001269,-347.002563476563,147.354507446289,78172.8671875,0.000454842317642,-0.401573836774027
75,1,0.012361514684353,182.451202392578,38.5011100769043,78172.8671875,0.000707778916403,0.207970261824272
76,1,0.0266550706352609,-57.0751609802246,152.66618347168,78172.8671875,0.0011265903198799,-1.2130290367526
77,1,0.0372301405455029,106.723045349121,290.867248535156,78172.8671875,0.0007424230914217,1.21913419613825
78,1,0.0309531745615795,14.6859970092773,160.939376831055,78172.8671875,0.001043998257393,1.47979661676911
79,1,0.0069709673275302,35.3799629211426,148.256729125977,78172.8671875,0.0005599178671604,1.3365378190145
80,1,6.6616512173695,-4.24906444549561,151.776245117188,78172.8671875,0.0005578530133694,-1.54280805437398
81,1,0.166969475251459,272.547821044922,83.2453308105469,78172.8671875,0.0013888493370972,0.296434494113481
82,1,0.136073800693203,-18.5357875823975,-227.106979370117,78172.8671875,0.0027362370048714,1.4893598439914
83,2,0.347900015880873,245.990646362305,158.797058105469,78172.8671875,0.0021143332977527,0.573234238377129
84,1,8.01423399347388,-9.29669666290283,-184.907257080078,78172.8671875,0.0011361653181283,1.52056100800942
85,1,0.0369631521765243,188.713394165039,99.7098541259766,78172.8671875,0.0007252806407998,0.486082519300246
86,1,0.0133849792760685,-348.151977539063,81.4936141967773,78172.8671875,0.0018675184432273,-0.229935026474508
87,1,0.0158773069341048,82.4467391967773,56.1309432983398,78172.8671875,0.0007271951130755,0.597733472775086
